央视,#genre#
CCTV-1HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.19:9614
CCTV-2HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.50:9802
CCTV-3HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.74:8000
CCTV-4HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.51:9806
CCTV-5HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.75:8000
CCTV-5+HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.18:9610
CCTV-6HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.76:8000
CCTV-7,http://1k75c34199.vicp.fun:4022/udp/239.49.0.126:8000
CCTV-8HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.77:8000
CCTV-9HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.53:9814
CCTV-10HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.54:9818
CCTV-11,http://1k75c34199.vicp.fun:4022/udp/239.49.0.127:8000
CCTV-12HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.55:9822
CCTV-13HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.109:8000
CCTV-14HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.56:9826
CCTV-15,http://1k75c34199.vicp.fun:4022/udp/239.49.0.128:8000
CCTV-16HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.31:8000
CCTV-16UHD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.109:8000
CCTV-16UHD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.193:8000
CCTV-17HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.52:9810
CCTV-4K,http://1k75c34199.vicp.fun:4022/udp/239.49.0.82:8000
CGTN-俄语HD,http://1k75c34199.vicp.fun:4022/udp/239.49.0.111:8000
CCTV-电视指南HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.84:8000
CCTV-怀旧剧场HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.91:8000
CCTV-第一剧场HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.94:8000
CCTV-风云剧场HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.89:8000
CCTV-风云足球HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.85:8000
CCTV-风云音乐HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.92:8000
CCTV-世界地理HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.87:8000
CCTV-兵器科技HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.88:8000
CCTV-女性时尚HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.93:8000
CCTV-央视台球HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.32:8000
CETV-1HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.115:8000
CCTV-高尔夫·网球HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.86:8000
CCTV-文化精品HD,http://1k75c34199.vicp.fun:4022/udp/239.49.8.90:8000
