央视频道,#genre#
CCTV1,http://origin.lean.org.cn:4000/udp/239.45.3.145:5140
CCTV2,http://origin.lean.org.cn:4000/udp/239.45.0.1:5140
CCTV3,http://origin.lean.org.cn:4000/udp/239.45.1.68:5140
CCTV4,http://origin.lean.org.cn:4000/udp/239.45.0.2:5140
CCTV5,http://origin.lean.org.cn:4000/udp/239.45.1.69:5140
CCTV5+,http://origin.lean.org.cn:4000/udp/239.45.0.34:5140
CCTV6,http://origin.lean.org.cn:4000/udp/239.45.1.70:5140
CCTV7,http://origin.lean.org.cn:4000/udp/239.45.3.56:5140
CCTV8,http://origin.lean.org.cn:4000/udp/239.45.1.71:5140
CCTV9,http://origin.lean.org.cn:4000/udp/239.45.3.4:5140
CCTV10,http://origin.lean.org.cn:4000/udp/239.45.3.8:5140
CCTV11,http://origin.lean.org.cn:4000/udp/239.45.0.18:5140
CCTV12,http://origin.lean.org.cn:4000/udp/239.45.3.10:5140
CCTV13,http://origin.lean.org.cn:4000/udp/239.45.0.19:5140
CCTV14,http://origin.lean.org.cn:4000/udp/239.45.3.23:5140
CCTV15,http://origin.lean.org.cn:4000/udp/239.45.0.20:5140
CCTV16,http://origin.lean.org.cn:4000/udp/239.45.0.12:5140
CCTV17,http://origin.lean.org.cn:4000/udp/239.45.3.52:5140
CCTV4K,http://origin.lean.org.cn:4000/udp/239.45.0.55:5140
风云足球,http://origin.lean.org.cn:4000/rtp/239.45.0.43:5140
风云足球,http://origin.lean.org.cn:4000/rtp/239.45.1.75:5140
风云剧场,http://origin.lean.org.cn:4000/rtp/239.45.0.50:5140
风云音乐,http://origin.lean.org.cn:4000/rtp/239.45.0.52:5140
怀旧剧场,http://origin.lean.org.cn:4000/rtp/239.45.0.49:5140
第一剧场,http://origin.lean.org.cn:4000/rtp/239.45.0.51:5140
央视台球,http://origin.lean.org.cn:4000/rtp/239.45.0.44:5140
兵器科技,http://origin.lean.org.cn:4000/rtp/239.45.0.45:5140
兵器科技,http://origin.lean.org.cn:4000/rtp/239.45.1.74:5140
世界地理,http://origin.lean.org.cn:4000/rtp/239.45.0.46:5140
女性时尚,http://origin.lean.org.cn:4000/rtp/239.45.0.47:5140
高尔夫网球,http://origin.lean.org.cn:4000/rtp/239.45.0.48:5140
高尔夫网球,http://origin.lean.org.cn:4000/rtp/239.45.1.72:5140
央视文化精品,http://origin.lean.org.cn:4000/rtp/239.45.0.53:5140
央视文化精品,http://origin.lean.org.cn:4000/rtp/239.45.1.17:5140
电视指南,http://origin.lean.org.cn:4000/rtp/239.45.1.73:5140
CCTV1,http://www.baopiqi.top:4022/udp/239.45.3.145:5140 
CCTV2,http://www.baopiqi.top:4022/udp/239.45.0.1:5140 
CCTV3,http://www.baopiqi.top:4022/udp/239.45.1.68:5140 
CCTV4,http://www.baopiqi.top:4022/udp/239.45.0.2:5140 
CCTV5,http://www.baopiqi.top:4022/udp/239.45.1.69:5140 
CCTV5+,http://www.baopiqi.top:4022/udp/239.45.0.34:5140 
CCTV6,http://www.baopiqi.top:4022/udp/239.45.1.70:5140 
CCTV7,http://www.baopiqi.top:4022/udp/239.45.3.56:5140 
CCTV8,http://www.baopiqi.top:4022/udp/239.45.1.71:5140 
CCTV9,http://www.baopiqi.top:4022/udp/239.45.3.4:5140 
CCTV10,http://www.baopiqi.top:4022/udp/239.45.3.8:5140 
CCTV11,http://www.baopiqi.top:4022/udp/239.45.0.18:5140 
CCTV12,http://www.baopiqi.top:4022/udp/239.45.3.10:5140 
CCTV13,http://www.baopiqi.top:4022/udp/239.45.0.19:5140 
CCTV14,http://www.baopiqi.top:4022/udp/239.45.3.23:5140 
CCTV15,http://www.baopiqi.top:4022/udp/239.45.0.20:5140 
CCTV16,http://www.baopiqi.top:4022/udp/239.45.0.12:5140 
CCTV17,http://www.baopiqi.top:4022/udp/239.45.3.52:5140 
CCTV4K,http://www.baopiqi.top:4022/udp/239.45.0.55:5140 
风云足球,http://www.baopiqi.top:4022/rtp/239.45.0.43:5140 
风云足球,http://www.baopiqi.top:4022/rtp/239.45.1.75:5140 
风云剧场,http://www.baopiqi.top:4022/rtp/239.45.0.50:5140 
风云音乐,http://www.baopiqi.top:4022/rtp/239.45.0.52:5140 
怀旧剧场,http://www.baopiqi.top:4022/rtp/239.45.0.49:5140 
第一剧场,http://www.baopiqi.top:4022/rtp/239.45.0.51:5140 
央视台球,http://www.baopiqi.top:4022/rtp/239.45.0.44:5140 
兵器科技,http://www.baopiqi.top:4022/rtp/239.45.0.45:5140 
兵器科技,http://www.baopiqi.top:4022/rtp/239.45.1.74:5140 
世界地理,http://www.baopiqi.top:4022/rtp/239.45.0.46:5140 
女性时尚,http://www.baopiqi.top:4022/rtp/239.45.0.47:5140 
高尔夫网球,http://www.baopiqi.top:4022/rtp/239.45.0.48:5140 
高尔夫网球,http://www.baopiqi.top:4022/rtp/239.45.1.72:5140 
央视文化精品,http://www.baopiqi.top:4022/rtp/239.45.0.53:5140 
央视文化精品,http://www.baopiqi.top:4022/rtp/239.45.1.17:5140 
电视指南,http://www.baopiqi.top:4022/rtp/239.45.1.73:5140
本市频道,#genre#
上视新闻,http://origin.lean.org.cn:4000/udp/239.45.3.209:5140
东方卫视,http://origin.lean.org.cn:4000/udp/239.45.3.146:5140
上海都市,http://origin.lean.org.cn:4000/udp/239.45.3.236:5140
上海纪实,http://origin.lean.org.cn:4000/udp/239.45.3.212:5140
东方影视,http://origin.lean.org.cn:4000/udp/239.45.3.237:5140
第一财经,http://origin.lean.org.cn:4000/udp/239.45.3.211:5140
东方财经,http://origin.lean.org.cn:4000/udp/239.45.0.17:5140
五星体育,http://origin.lean.org.cn:4000/udp/239.45.3.210:5140
哈哈炫动,http://origin.lean.org.cn:4000/udp/239.45.1.55:5140
上视外语,http://origin.lean.org.cn:4000/udp/239.45.1.127:5140
上海都市剧场,http://origin.lean.org.cn:4000/udp/239.45.3.136:5140
欢笑剧场,http://origin.lean.org.cn:4000/udp/239.45.1.4:5140
卡酷少儿,http://origin.lean.org.cn:4000/udp/239.45.0.8:5140
动漫秀场,http://origin.lean.org.cn:4000/udp/239.45.3.134:5140
生活时尚,http://origin.lean.org.cn:4000/udp/239.45.3.132:5140
游戏风云,http://origin.lean.org.cn:4000/udp/239.45.3.131:5140
上海教育,http://origin.lean.org.cn:4000/udp/239.45.0.13:5140
七彩戏剧,http://origin.lean.org.cn:4000/udp/239.45.0.16:5140
法治天地,http://origin.lean.org.cn:4000/udp/239.45.1.46:5140
浦东频道,http://origin.lean.org.cn:4000/udp/239.45.3.248:5140
